Mode,Pipeline,Accuracy,Precision,Recall,F1-Score,Train Time (s),Inference Time (s)
Easy (prompt),P1: TF-IDF + Naive Bayes,1.0,1.0,1.0,1.0,0.003,0.001
Easy (prompt),P2: TF-IDF + SVM,1.0,1.0,1.0,1.0,0.033,0.001
Easy (prompt),P3: TF-IDF + k-NN,1.0,1.0,1.0,1.0,0.001,0.219
Easy (prompt),P4: Word2Vec + Random Forest,1.0,1.0,1.0,1.0,0.139,0.012
Easy (prompt),P5: Word2Vec + MLP,1.0,1.0,1.0,1.0,6.17,0.023
Easy (prompt),P6: DistilBERT + LogReg,1.0,1.0,1.0,1.0,23.753,5.802
Hard (answer),P1: TF-IDF + Naive Bayes,0.6763,0.6368,0.6763,0.634,0.001,0.0
Hard (answer),P2: TF-IDF + SVM,0.8068,0.816,0.8068,0.8083,0.014,0.0
Hard (answer),P3: TF-IDF + k-NN,0.6205,0.588,0.6205,0.5755,0.001,0.108
Hard (answer),P4: Word2Vec + Random Forest,0.8026,0.8061,0.8026,0.8025,0.229,0.014
Hard (answer),P5: Word2Vec + MLP,0.7674,0.8179,0.7674,0.7488,6.162,0.008
Hard (answer),P6: DistilBERT + LogReg,0.8484,0.848,0.8484,0.8455,3.49,0.595
